id;host_name;ip_address;asname;org
1;mobile mobile;Extension;global Avon Hat;Unit Table
2;transmit Pass;Soft;Designer content-based;human-resource Chips
3;Somali Berkshire e-services;dynamic Ergonomic;Group XSS;gold
4;Executive Greece;Keyboard revolutionary;Connecticut knowledge Producer;multi-tasking
5;parsing Managed Interactions;De-engineered transmit;override Beauty invoice;Sausages
6;Games payment;plum Vista Front-line;generation New;programming PCI invoice
7;Small scalable optical;panel ivory Handmade;holistic Soft;synthesize dynamic
8;Cheese;dynamic Minnesota copy;interactive Borders initiative;Plastic
9;Pound Georgia Associate;digital York navigate;override transmit Global;International
10;payment;RSS virtual bypassing;hard Steel connect;Flats black intranet
